Location,Household Type,TimeFrame,DataFormat,Data
Chelsea/Clinton,Families with Children,2019,Dollars,163882.15
Chelsea/Clinton,Families without Children,2019,Dollars,200435.262
Chelsea/Clinton,Families with Children,2017,Dollars,186378.5411
Chelsea/Clinton,Families without Children,2017,Dollars,154784.9541
Chelsea/Clinton,All Households,2018,Dollars,107973.5392
Chelsea/Clinton,All Households,2017,Dollars,111013.5269
Chelsea/Clinton,Families,2017,Dollars,162225.3347
Chelsea/Clinton,Families without Children,2016,Dollars,189854.6082
Chelsea/Clinton,Families with Children,2016,Dollars,182918.981
Chelsea/Clinton,All Households,2016,Dollars,112708.1034
Chelsea/Clinton,Families,2016,Dollars,189682.5771
Chelsea/Clinton,Families without Children,2015,Dollars,180969.8829
Chelsea/Clinton,Families with Children,2015,Dollars,176276.1266
Chelsea/Clinton,Families,2015,Dollars,179579.9297
Chelsea/Clinton,All Households,2015,Dollars,114736.7635
Chelsea/Clinton,Families without Children,2014,Dollars,169407.2404
Chelsea/Clinton,Families,2014,Dollars,158092.7566
Chelsea/Clinton,Families with Children,2014,Dollars,151987.9001
Chelsea/Clinton,All Households,2014,Dollars,110708.5116
Chelsea/Clinton,Families without Children,2013,Dollars,161889.7892
Chelsea/Clinton,Families with Children,2013,Dollars,180955.3293
Chelsea/Clinton,Families,2013,Dollars,173336.8524
Chelsea/Clinton,All Households,2013,Dollars,114533.2275
Chelsea/Clinton,Families with Children,2012,Dollars,168068.3231
Chelsea/Clinton,Families without Children,2012,Dollars,144348.532
Chelsea/Clinton,Families,2012,Dollars,152400.5546
Chelsea/Clinton,All Households,2012,Dollars,99841.37658
Chelsea/Clinton,Families without Children,2011,Dollars,147154.4855
Chelsea/Clinton,Families with Children,2011,Dollars,141127.1329
Chelsea/Clinton,Families,2011,Dollars,146983.3879
Chelsea/Clinton,Families without Children,2010,Dollars,129181.0721
Chelsea/Clinton,All Households,2011,Dollars,97973.97884
Chelsea/Clinton,Families with Children,2010,Dollars,126262.4594
Chelsea/Clinton,Families,2010,Dollars,128825.4989
Chelsea/Clinton,All Households,2010,Dollars,94469.6054
Chelsea/Clinton,Families without Children,2009,Dollars,138863.8274
Chelsea/Clinton,Families with Children,2009,Dollars,217964.9133
Chelsea/Clinton,All Households,2009,Dollars,100921.5218
Chelsea/Clinton,Families,2009,Dollars,154396.9563
Chelsea/Clinton,Families without Children,2008,Dollars,151764.9395
Chelsea/Clinton,Families with Children,2008,Dollars,104797.0138
Chelsea/Clinton,Families,2008,Dollars,140974.441
Chelsea/Clinton,All Households,2008,Dollars,98350.48434
Chelsea/Clinton,Families without Children,2007,Dollars,162138.3901
Chelsea/Clinton,Families with Children,2007,Dollars,141947.4064
Chelsea/Clinton,All Households,2007,Dollars,102253.2412
Chelsea/Clinton,Families,2007,Dollars,155270.6735
Chelsea/Clinton,Families without Children,2006,Dollars,150840.003
Chelsea/Clinton,Families with Children,2006,Dollars,95274.61988
Chelsea/Clinton,Families,2006,Dollars,134826.2487
Chelsea/Clinton,All Households,2006,Dollars,96297.08439
Chelsea/Clinton,Families without Children,2005,Dollars,122135.105
Chelsea/Clinton,Families,2005,Dollars,133075.5101
Chelsea/Clinton,Families with Children,2005,Dollars,175787.2038
Chelsea/Clinton,All Households,2005,Dollars,97000.0703
Midtown Business District,All Households,2005,Dollars,97000.0703
Midtown Business District,Families with Children,2005,Dollars,175787.2038
Midtown Business District,Families,2005,Dollars,133075.5101
Midtown Business District,Families without Children,2005,Dollars,122135.105
Midtown Business District,All Households,2006,Dollars,96297.08439
Midtown Business District,Families,2006,Dollars,134826.2487
Midtown Business District,Families with Children,2006,Dollars,95274.61988
Midtown Business District,Families without Children,2006,Dollars,150840.003
Midtown Business District,Families,2007,Dollars,155270.6735
Midtown Business District,All Households,2007,Dollars,102253.2412
Midtown Business District,Families with Children,2007,Dollars,141947.4064
Midtown Business District,Families without Children,2007,Dollars,162138.3901
Midtown Business District,All Households,2008,Dollars,98350.48434
Midtown Business District,Families,2008,Dollars,140974.441
Midtown Business District,Families with Children,2008,Dollars,104797.0138
Midtown Business District,Families without Children,2008,Dollars,151764.9395
Midtown Business District,Families,2009,Dollars,154396.9563
Midtown Business District,All Households,2009,Dollars,100921.5218
Midtown Business District,Families with Children,2009,Dollars,217964.9133
Midtown Business District,Families without Children,2009,Dollars,138863.8274
